album_name,album_release_date,album_total_tracks,track_name,track_id,track_popularity,track_duration_ms,track_number,is_explicit,is_playable,track_preview_url,track_uri,artists
Skin,2016-05-27,16,Never Be Like You (feat. Kai),14gdERIqymApVn9vcsbmZ3,67,234909,2,True,True,https://p.scdn.co/mp3-preview/e27486d20eb1ffd4d844cdb0e084c1d568efeb60?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:14gdERIqymApVn9vcsbmZ3,"Flume, kai"
Settle (The Remixes),2013-06-11,15,You & Me - Flume Remix,1snNAXmmPXCn0dkF9DaPWw,65,282812,8,False,True,,spotify:track:1snNAXmmPXCn0dkF9DaPWw,"Disclosure, Eliza Doolittle, Flume"
The Difference,2020-03-11,1,The Difference,5kJ4BWZ9Y1qFIwwTbMIxYX,69,139662,1,False,True,https://p.scdn.co/mp3-preview/323f72a5047c61f486b6ff9b8a6376fd33d1a419?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:5kJ4BWZ9Y1qFIwwTbMIxYX,"Flume, Toro y Moi"
Skin,2016-05-27,16,Say It (feat. Tove Lo),4lAnj7Git7s2QrSTwUa54g,57,262521,5,True,True,https://p.scdn.co/mp3-preview/06fbfdf1ac8c61a717a84cb17fc397a1d06a91c7?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:4lAnj7Git7s2QrSTwUa54g,"Flume, Tove Lo"
Lockjaw,2013-11-22,3,Drop The Game,3wFFW1B6WAmAFGOwdEOOZR,65,221894,1,False,True,https://p.scdn.co/mp3-preview/90ff84474482f51f53b770ced2ed8e73b192fe50?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:3wFFW1B6WAmAFGOwdEOOZR,"Flume, Chet Faker"
Test & Recognise (Remixes),2014-08-14,4,Test & Recognise (Flume Re-work),3FijoNKGof7pCn7oddecOQ,64,303660,2,False,True,https://p.scdn.co/mp3-preview/18bc82c1827f2adc26b5415715ae838b17932e68?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:3FijoNKGof7pCn7oddecOQ,"Seekae, Flume"
Flume,2012-11-09,15,Holdin On,6ERjyW3kpEZN9yHpLIRfxC,55,154414,2,False,True,https://p.scdn.co/mp3-preview/7bef0935ed1029e07ff7ca5ca32f00f6e7786c49?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:6ERjyW3kpEZN9yHpLIRfxC,Flume
Rushing Back (feat. Vera Blue),2019-09-27,1,Rushing Back (feat. Vera Blue),4uyYsLMnxzzIB6LE81g4OF,60,231663,1,False,True,https://p.scdn.co/mp3-preview/bcd9674686014037831c02fb9f47f837737e372d?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:4uyYsLMnxzzIB6LE81g4OF,"Flume, Vera Blue"
Skin: The Remixes,2017-04-07,15,Say It - Illenium Remix,6ok03Y0wtCsaonlIuxAILR,57,267200,13,True,True,https://p.scdn.co/mp3-preview/c13bedc9677da1412797b7a87b2343c571838971?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:6ok03Y0wtCsaonlIuxAILR,"Flume, Tove Lo"
Flume,2012-11-09,15,Insane feat. Moon Holiday,7gqKkrzG5OV1CLViOaXSay,57,213883,7,False,True,https://p.scdn.co/mp3-preview/55b8255a7949d35d987785e8a46af59cf129f8a2?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:7gqKkrzG5OV1CLViOaXSay,"Flume, Moon Holiday"
