album_name,album_release_date,album_total_tracks,track_name,track_id,track_popularity,track_duration_ms,track_number,is_explicit,is_playable,track_preview_url,track_uri,artists
DECIDE,2022-09-16,13,End of Beginning,3qhlB30KknSejmIvZZLjOD,92,159245,6,False,N/A,https://p.scdn.co/mp3-preview/2f6f0965be46144eca9212258c7a2988376727a1?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo
2093,2024-02-16,22,If We Being Rëal,0YThXX1dqUpYBLyJNAsF9N,84,172500,21,True,N/A,https://p.scdn.co/mp3-preview/a875f5d36c0ac4181e62db527f06ba91ac342a7f?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:0YThXX1dqUpYBLyJNAsF9N,Yeat
LEO-NiNE,2020-10-14,13,紅蓮華,0qMip0B2D4ePEjBJvAtYre,73,237586,2,False,N/A,https://p.scdn.co/mp3-preview/f76ce8208d4a829fdc8a1fa568bfbd14a6fb9b6f?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:0qMip0B2D4ePEjBJvAtYre,LiSA
HIT ME HARD AND SOFT,2024-05-17,10,BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB,100,210373,4,False,N/A,https://p.scdn.co/mp3-preview/2899f0275fc029d456d924a60ae6f747bda1ed80?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish
Geography,2018-04-06,13,It Runs Through Me (feat. De La Soul),0vMctOnb4YNIvbqgkbWNDy,66,261881,6,False,N/A,https://p.scdn.co/mp3-preview/632d6c82c76df12239b31e81936f7ca316a3d45b?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:0vMctOnb4YNIvbqgkbWNDy,"Tom Misch, De La Soul"
Harmony House,2021-05-21,11,Close To You,50PyquzZ9BaBwLZZd1AuuV,65,194693,5,False,N/A,https://p.scdn.co/mp3-preview/04666131ae6625d6a141f631f7a651438981461b?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:50PyquzZ9BaBwLZZd1AuuV,Dayglow
BRAT,2024-06-07,15,Apple,19RybK6XDbAVpcdxSbZL1o,90,151739,11,False,N/A,https://p.scdn.co/mp3-preview/907d06abc995f4c427feb5f9e94dccb731903a0d?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:19RybK6XDbAVpcdxSbZL1o,Charli xcx
Lungs (Deluxe Edition),2009,24,Dog Days Are Over,1YLJVmuzeM2YSUkCCaTNUB,75,251840,1,False,N/A,https://p.scdn.co/mp3-preview/d1c97f83c052039d9e5105ed70261a5c59fd7f53?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:1YLJVmuzeM2YSUkCCaTNUB,Florence + The Machine
The New Abnormal,2020-04-10,9,The Adults Are Talking,5ruzrDWcT0vuJIOMW7gMnW,79,309053,1,False,N/A,https://p.scdn.co/mp3-preview/213afafcea2fa6b5c7e5fd71c1fd8f4adc3ffba0?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:5ruzrDWcT0vuJIOMW7gMnW,The Strokes
Shut up My Moms Calling,2020-02-10,1,Shut up My Moms Calling,3hxIUxnT27p5WcmjGUXNwx,87,164571,1,False,N/A,https://p.scdn.co/mp3-preview/7642409265c74b714a2f0f0dd8663c031e253485?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:3hxIUxnT27p5WcmjGUXNwx,Hotel Ugly
Chip Chrome & The Mono-Tones (Deluxe),2020-12-11,15,Stargazing,0VF7YLIxSQKyNiFL3X6MmN,68,217026,1,False,N/A,https://p.scdn.co/mp3-preview/c5665ce32c0e748c9110b168b844775a832b6214?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:0VF7YLIxSQKyNiFL3X6MmN,The Neighbourhood
"Wasteland, Baby!",2019-03-01,14,Movement,1djzKW3eYLyzjjHXazEWWh,66,237800,3,False,N/A,https://p.scdn.co/mp3-preview/ed4450cb9906e306c83985963ecc9a797d6f504c?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:1djzKW3eYLyzjjHXazEWWh,Hozier
Nothing Happens,2019-03-22,11,Remember When,5naar7XewEOAjOywIp6Jjq,71,155146,9,False,N/A,https://p.scdn.co/mp3-preview/4f514477aca7c4bfcb203b9feb9c415bb843afa0?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:5naar7XewEOAjOywIp6Jjq,Wallows
ONE CALL,2023-11-03,3,ONE CALL,6et5HwX6nTYddg7hDGAxug,71,121399,1,True,N/A,https://p.scdn.co/mp3-preview/217a9afc485e0ae87c6aadd50160fd47a84a49e8?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:6et5HwX6nTYddg7hDGAxug,Rich Amiri
"Superclean, Vol. I",2017-11-03,6,I Don't Know You,06cqIVC8kRAT02qfHQT65v,62,209403,1,False,N/A,https://p.scdn.co/mp3-preview/ce6dce3f6abb67beae4d64a54bbaba42f5ec3741?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:06cqIVC8kRAT02qfHQT65v,The Marías
Supermodel,2014-03-14,11,Nevermind,4PZzEAYfBb26M5Fhm8xbZd,46,317693,4,False,N/A,https://p.scdn.co/mp3-preview/a60358098d477ee982eec374161b5689dcff5fff?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:4PZzEAYfBb26M5Fhm8xbZd,Foster The People
Metamodernity,2019-06-11,2,Metamodernity,4RGWHfQeJftd5XrP8JUgFj,71,162663,1,False,N/A,https://p.scdn.co/mp3-preview/ab0bf0682e578cb1adf371a52569b4deb618cd8c?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:4RGWHfQeJftd5XrP8JUgFj,Vansire
HIT ME HARD AND SOFT,2024-05-17,10,LUNCH,629DixmZGHc7ILtEntuiWE,91,179586,2,False,N/A,https://p.scdn.co/mp3-preview/c3a85474a1fc40d876b6bd15c240197e2f974e6e?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:629DixmZGHc7ILtEntuiWE,Billie Eilish
THE TORTURED POETS DEPARTMENT,2024-04-18,16,Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m,89,228965,1,False,N/A,https://p.scdn.co/mp3-preview/8098fbf227c8cc1a550e3cabfb8cc52972ac2024?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone"
Lockjaw,2013-11-22,3,Drop The Game,3wFFW1B6WAmAFGOwdEOOZR,65,221894,1,False,N/A,https://p.scdn.co/mp3-preview/90ff84474482f51f53b770ced2ed8e73b192fe50?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:3wFFW1B6WAmAFGOwdEOOZR,"Flume, Chet Faker"
14 minutes,2024-05-03,8,misses,6WTFHKrnZpwEBLRS10Ylqs,85,74378,6,False,N/A,https://p.scdn.co/mp3-preview/4303daf566d5e5adabf2fe733a3a486518e02259?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:6WTFHKrnZpwEBLRS10Ylqs,Dominic Fike
Big Whoop,2021-06-18,12,Origami,3qpyxgH65qNhJ9hLS2gWrS,60,174182,5,False,N/A,https://p.scdn.co/mp3-preview/e052f18dcb3737fbc54222ba57dc20f1b0c8465b?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:3qpyxgH65qNhJ9hLS2gWrS,The Rare Occasions
double take,2019-05-24,1,double take,47isJpIIO8m7BJEhiFhnaf,71,171743,1,False,N/A,https://p.scdn.co/mp3-preview/b450e81df0559e9468be4c807340d87f4fd9634e?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:47isJpIIO8m7BJEhiFhnaf,Dhruv
The Stranger (Legacy Edition),1977,21,Vienna,4U45aEWtQhrm8A5mxPaFZ7,81,214240,5,False,N/A,https://p.scdn.co/mp3-preview/20063b69f912e042929de74af0b77271ec3376c5?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:4U45aEWtQhrm8A5mxPaFZ7,Billy Joel
Left Is Right,2017-08-25,20,ili,59QmjU5K8XQTfj9JjFNb4Z,48,245000,9,False,N/A,https://p.scdn.co/mp3-preview/cde325f147d4799522baadc90f18cf651dc894a3?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:59QmjU5K8XQTfj9JjFNb4Z,TroyBoi
Tell Me I'm Pretty,2015-12-18,10,Trouble,5n0CTysih20NYdT2S0Wpe8,73,225973,6,False,N/A,https://p.scdn.co/mp3-preview/4572a5e25b2606e3a68591b71ea40f0d6a857352?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:5n0CTysih20NYdT2S0Wpe8,Cage The Elephant
Clarity,2012-01-01,10,Clarity,60wwxj6Dd9NJlirf84wr2c,74,271426,5,False,N/A,https://p.scdn.co/mp3-preview/b2fd1208b83b14121c261cfc1e74ec4439a16c8f?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:60wwxj6Dd9NJlirf84wr2c,"Zedd, Foxes"
Next Best Thing,2020-04-17,1,Next Best Thing,7hZtfayYQukFySbj746HJL,39,170405,1,False,N/A,https://p.scdn.co/mp3-preview/940ad10c0688096800b9b25c3c51c7f4bf365e89?cid=b7f8bf9e6e574f878df2d093f15dab83,spotify:track:7hZtfayYQukFySbj746HJL,"FLOOR CRY, Vansire"
